date,sig_150_175,snr_150_175
2026-01-13,-18.84887500000002,
2026-01-14,-22.594694397283554,
2026-01-15,-26.00490596892887,
2026-01-16,-25.43413738019167,
2026-01-17,-26.06567545963228,
2026-01-18,-26.596891891891893,
2026-01-19,-26.492978723404235,
2026-01-20,-25.944127358490555,
2026-01-21,-25.91287704918034,
2026-01-22,-26.625749999999993,
2026-01-23,-30.71656910569102,
2026-01-24,-30.486215334420855,
2026-01-25,-28.903257514216104,
2026-01-26,-27.24087974172719,
2026-01-27,-26.044764565043877,
2026-01-28,-26.661038430089924,
2026-01-29,-30.55702466189337,
2026-01-30,-29.523653077538,
2026-01-31,-30.05294964028775,
2026-02-01,-30.583286540049553,
2026-02-02,-30.17069410815173,
2026-02-03,-30.701954947707172,
2026-02-04,-30.48033386327506,
2026-02-05,-30.79444078947365,
2026-02-06,-30.81282780410744,
2026-02-07,-30.201380417335454,
2026-02-08,-29.87581640942322,
2026-02-09,-30.90337359098231,
2026-02-10,-30.384277864992196,
2026-02-11,-29.193317610062923,
2026-02-12,-30.125520833333386,
2026-02-13,-30.206773187840895,
2026-02-14,-30.69663819875776,
2026-02-15,-31.200397772474197,
2026-02-16,-31.20148968678387,
2026-02-17,-31.19675078864356,
2026-02-18,-31.30929768555466,
2026-02-19,-31.77902280130296,
2026-02-20,-31.35374482187239,
2026-02-21,-31.818109656301143,
2026-02-22,-32.11395901639342,
2026-02-23,-32.58617575264443,
2026-02-24,-31.536231884057976,
2026-02-25,-30.363719008264535,
2026-02-26,-30.8779736024844,
2026-02-27,-31.61928068803755,
2026-02-28,-30.583864229765005,
