date,phase,total,fringe_ratio,ci_95_err,dist_0_100,dist_100_200,dist_200_300,dist_300_plus
2026-01-25,1_Old_Settings,1258512,100.0,0.0,0,0,0,1258512
2026-01-26,1_Old_Settings,1295686,100.0,0.0,0,0,0,1295686
2026-01-27,1_Old_Settings,1367262,100.0,0.0,0,0,0,1367262
2026-01-28,1_Old_Settings,94900,100.0,0.0,0,0,0,94900
2026-02-11,2_New_Filter,45535,100.0,0.0,0,0,0,45535
2026-02-12,2_New_Filter,48709,100.0,0.0,0,0,0,48709
2026-02-13,2_New_Filter,53629,100.0,0.0,0,0,0,53629
2026-02-14,2_New_Filter,56001,100.0,0.0,0,0,0,56001
2026-02-15,3_Post_Cable_Fix,56991,100.0,0.0,0,0,0,56991
2026-02-16,3_Post_Cable_Fix,48212,100.0,0.0,0,0,0,48212
2026-02-17,3_Post_Cable_Fix,46219,100.0,0.0,0,0,0,46219
2026-02-18,3_Post_Cable_Fix,47513,100.0,0.0,0,0,0,47513
2026-02-19,3_Post_Cable_Fix,47172,100.0,0.0,0,0,0,47172
2026-02-20,3_Post_Cable_Fix,46779,100.0,0.0,0,0,0,46779
2026-02-21,3_Post_Cable_Fix,47977,100.0,0.0,0,0,0,47977
2026-02-22,3_Post_Cable_Fix,57311,100.0,0.0,0,0,0,57311
2026-02-23,3_Post_Cable_Fix,59239,100.0,0.0,0,0,0,59239
2026-02-24,3_Post_Cable_Fix,47159,100.0,0.0,0,0,0,47159
2026-02-25,3_Post_Cable_Fix,38280,100.0,0.0,0,0,0,38280
2026-02-26,3_Post_Cable_Fix,50431,100.0,0.0,0,0,0,50431
2026-02-27,3_Post_Cable_Fix,55143,100.0,0.0,0,0,0,55143
